Mon Dec 31 21:05:02 Log file reset
Mon Dec 31 21:05:02 Loaded file BACKUP0.MAX
Mon Dec 31 21:05:15 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Mon Dec 31 21:05:18 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Dec 31 21:05:18 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Dec 31 21:05:19 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Dec 31 21:05:19 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Dec 31 21:05:22 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Mon Dec 31 21:05:31 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Mon Dec 31 21:12:49 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Mon Dec 31 21:13:57 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BCON100T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BCON156T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BGA.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\CLCC.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DCON050T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DCON085T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIMM050F.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIMM050T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIN.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIP100B.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIP100T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DSUBT.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DSUBT_HD.LLB
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\ECON100T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\FBUS.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\ISA.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\JUMPER.LLB
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\LAYOUT.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\LCON100T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PC104.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PCI.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PCON100T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PCON156T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PGA.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PLCC.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\QUAD.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\QUADB.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\RELAY.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\RF.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SBUS.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM050F.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM050T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM100F.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM100T.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIP.llb
Mon Dec 31 21:13:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SM.llb
Mon Dec 31 21:24:16 Saved as file BACKUP1.MAX
Mon Dec 31 21:27:09 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Mon Dec 31 21:27:09 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Mon Dec 31 21:27:22 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:28:45 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:45 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:47 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:28:48 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:53 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:54 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:28:59 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:00 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:01 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:05 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:08 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:10 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:13 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:14 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:16 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:17 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
